elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
194.9,loamy,5.45,2.84,1.45,0.34,15.478,0.493,1.919014085,4.264705882,3.75862069,8.352941176,4,2.5,4.87,19.28,52.21,3.934208942,0.702139587,31.39553753
185.1,loamy,4.8,3.58,1.8,0.1,17.184,0.18,1.340782123,18,2.666666667,35.8,3,3.48,5,19.18,41.05,4.145358851,0.424264069,95.46666667
62.6,sandy,5.14,2.69,1.54,0.24,13.8266,0.3696,1.910780669,6.416666667,3.337662338,11.20833333,3.6,2.45,5.15,24.05,46.26,3.71841364,0.607947366,37.40963203
65.7,loamy,5.26,3.16,1.31,0.37,16.6216,0.4847,1.664556962,3.540540541,4.015267176,8.540540541,3.95,2.79,4.71,24.61,41.08,4.076959652,0.696203993,34.29255209
96.8,clay,5.55,4.1,1.86,0.34,22.755,0.6324,1.353658537,5.470588235,2.983870968,12.05882353,3.69,3.76,5.1,15.17,55.82,4.770220121,0.795235814,35.98197343
58.1,loamy,5.49,3.59,1.37,0.26,19.7091,0.3562,1.529247911,5.269230769,4.00729927,13.80769231,4.12,3.33,4.93,20.98,49.88,4.439493214,0.596824932,55.33155531
235.8,clay,5.27,3.57,1.45,0.28,18.8139,0.406,1.476190476,5.178571429,3.634482759,12.75,3.82,3.29,4.95,17.67,38.86,4.33749928,0.637181293,46.33965517
230.8,loamy,4.84,3.79,1.58,0.29,18.3436,0.4582,1.277044855,5.448275862,3.063291139,13.06896552,3.26,3.5,5.09,19.26,51.88,4.282942913,0.67690472,40.03404627
84,clay,5.68,3.66,1.62,0.36,20.7888,0.5832,1.551912568,4.5,3.50617284,10.16666667,4.06,3.3,4.34,20.93,47.31,4.559473654,0.763675324,35.64609053
259,clay,4.97,3.63,1.56,0.27,18.0411,0.4212,1.369146006,5.777777778,3.185897436,13.44444444,3.41,3.36,5.02,19.36,42.58,4.247481607,0.64899923,42.83262108
88.7,sandy,5.01,3.72,1.63,0.35,18.6372,0.5705,1.346774194,4.657142857,3.073619632,10.62857143,3.38,3.37,5.08,20.69,58.39,4.317082348,0.755314504,32.6681858
125.3,clay,5.7,3.94,1.36,0.24,22.458,0.3264,1.446700508,5.666666667,4.191176471,16.41666667,4.34,3.7,5.06,22.02,50.54,4.738987234,0.571314274,68.80514706
112.2,sandy,5.19,2.55,1.64,0.29,13.2345,0.4756,2.035294118,5.655172414,3.164634146,8.793103448,3.55,2.26,4.89,20.88,48.53,3.637925233,0.689637586,27.82695542
143.1,loamy,5.6,3.32,1.67,0.25,18.592,0.4175,1.686746988,6.68,3.353293413,13.28,3.93,3.07,5.57,18.06,48,4.311844153,0.646142399,44.53173653
113.7,loamy,5.32,3.14,1.39,0.21,16.7048,0.2919,1.694267516,6.619047619,3.827338129,14.95238095,3.93,2.93,4.82,18.11,42.43,4.087150597,0.540277706,57.22781775
172.2,loamy,4.94,3.19,1.4,0.26,15.7586,0.364,1.548589342,5.384615385,3.528571429,12.26923077,3.54,2.93,5.11,15.68,43.48,3.969710317,0.603324125,43.29285714
151.9,clay,4.43,3.23,1.54,0.39,14.3089,0.6006,1.371517028,3.948717949,2.876623377,8.282051282,2.89,2.84,5.65,17.44,56.42,3.782710668,0.774983871,23.82434232
296.6,loamy,5,3.96,1.22,0.33,19.8,0.4026,1.262626263,3.696969697,4.098360656,12,3.78,3.63,4.96,25.89,47.63,4.449719092,0.634507683,49.18032787
64,loamy,5.22,3.05,1.8,0.27,15.921,0.486,1.71147541,6.666666667,2.9,11.2962963,3.42,2.78,5.11,17.62,50.11,3.99011278,0.697137002,32.75925926
85.5,sandy,5.3,2.59,1.58,0.16,13.727,0.2528,2.046332046,9.875,3.35443038,16.1875,3.72,2.43,4.95,16.42,39.78,3.704996626,0.502792204,54.29984177
63.2,sandy,5.11,2.96,1.66,0.37,15.1256,0.6142,1.726351351,4.486486486,3.078313253,8,3.45,2.59,5.62,20.96,43.41,3.889164435,0.78370913,24.62650602
206.5,loamy,4.99,3.45,1.61,0.27,17.2155,0.4347,1.446376812,5.962962963,3.099378882,12.77777778,3.38,3.18,4.87,19.67,53.05,4.149156541,0.659317829,39.6031746
63.6,loamy,5.26,3.47,1.62,0.26,18.2522,0.4212,1.515850144,6.230769231,3.24691358,13.34615385,3.64,3.21,5.64,19.41,51.89,4.272259355,0.64899923,43.33380817
259.1,clay,5.69,3.43,1.67,0.49,19.5167,0.8183,1.658892128,3.408163265,3.407185629,7,4.02,2.94,4.95,24.23,58.77,4.417770931,0.904599359,23.8502994
178,clay,5.71,3.43,1.58,0.37,19.5853,0.5846,1.664723032,4.27027027,3.613924051,9.27027027,4.13,3.06,4.57,21.65,56.71,4.425528217,0.764591394,33.50205269
181.8,loamy,4.16,3.13,1.36,0.24,13.0208,0.3264,1.329073482,5.666666667,3.058823529,13.04166667,2.8,2.89,5.34,18.41,48.85,3.608434564,0.571314274,39.89215686
190.4,sandy,5.05,3.49,1.37,0.25,17.6245,0.3425,1.446991404,5.48,3.686131387,13.96,3.68,3.24,4.85,18.73,52.36,4.198154356,0.585234996,51.45839416
92.7,loamy,4.88,3.61,1.81,0.25,17.6168,0.4525,1.351800554,7.24,2.696132597,14.44,3.07,3.36,5.31,18.49,48.42,4.197237187,0.672681202,38.9321547
99.4,clay,5.72,3.68,1.19,0.5,21.0496,0.595,1.554347826,2.38,4.806722689,7.36,4.53,3.18,3.64,22.62,60.27,4.587984307,0.771362431,35.37747899
129.7,sandy,5.27,3.32,1.32,0.36,17.4964,0.4752,1.587349398,3.666666667,3.992424242,9.222222222,3.95,2.96,5,19.08,55.75,4.182869828,0.689347518,36.81902357
198.4,sandy,4.91,2.8,1.29,0.14,13.748,0.1806,1.753571429,9.214285714,3.80620155,20,3.62,2.66,4.77,14.62,50.85,3.707829554,0.424970587,76.12403101
102.5,clay,4.86,3.63,1.45,0.35,17.6418,0.5075,1.338842975,4.142857143,3.351724138,10.37142857,3.41,3.28,4.47,19.86,51,4.20021428,0.712390342,34.76216749
79.1,loamy,5.55,3.01,1.7,0.31,16.7055,0.527,1.843853821,5.483870968,3.264705882,9.709677419,3.85,2.7,4.72,15.39,57.22,4.08723623,0.725947657,31.69924099
292.5,loamy,5.05,3.14,1.07,0.47,15.857,0.5029,1.608280255,2.276595745,4.719626168,6.680851064,3.98,2.67,4.71,26.55,52.9,3.982084881,0.709154426,31.53111951
55.5,loamy,5.73,3.52,1.98,0.32,20.1696,0.6336,1.627840909,6.1875,2.893939394,11,3.75,3.2,4.98,17.1,57.79,4.491057782,0.79598995,31.83333333
250.7,clay,4.74,4.15,1.7,0.41,19.671,0.697,1.142168675,4.146341463,2.788235294,10.12195122,3.04,3.74,4.32,19.51,39.03,4.435200108,0.834865259,28.22238164
247,sandy,4.59,3.15,1.6,0.38,14.4585,0.608,1.457142857,4.210526316,2.86875,8.289473684,2.99,2.77,5.16,20.77,52.31,3.802433431,0.779743548,23.78042763
124.3,clay,4.82,2.91,1.85,0.19,14.0262,0.3515,1.656357388,9.736842105,2.605405405,15.31578947,2.97,2.72,5.68,19.13,47.42,3.745156873,0.592874354,39.90384068
83.9,loamy,5.84,3.44,1.59,0.39,20.0896,0.6201,1.697674419,4.076923077,3.672955975,8.820512821,4.25,3.05,5.14,19.13,58.78,4.482142345,0.787464285,32.39735527
86.4,clay,4.66,3.72,1.92,0.27,17.3352,0.5184,1.252688172,7.111111111,2.427083333,13.77777778,2.74,3.45,5.4,21.27,57.73,4.163556172,0.72,33.43981481
224.4,sandy,4.18,2.86,1.5,0.33,11.9548,0.495,1.461538462,4.545454545,2.786666667,8.666666667,2.68,2.53,5.55,24.58,50.16,3.457571402,0.703562364,24.15111111
210.7,clay,5.08,3.38,1.3,0.47,17.1704,0.611,1.50295858,2.765957447,3.907692308,7.191489362,3.78,2.91,5.62,22.3,57.68,4.143718137,0.78166489,28.10212766
245.7,loamy,4.93,3.76,1.42,0.34,18.5368,0.4828,1.311170213,4.176470588,3.471830986,11.05882353,3.51,3.42,5.94,24.44,58.92,4.305438421,0.694838111,38.3943662
284.4,sandy,4.72,2.64,1.34,0.25,12.4608,0.335,1.787878788,5.36,3.52238806,10.56,3.38,2.39,4.75,16.86,50.37,3.529985836,0.578791845,37.19641791
223,clay,4.78,3.31,1.46,0.28,15.8218,0.4088,1.444108761,5.214285714,3.273972603,11.82142857,3.32,3.03,4.64,20.95,62.36,3.97766263,0.639374695,38.70303327
89,clay,4.93,3.81,1.94,0.35,18.7833,0.679,1.293963255,5.542857143,2.541237113,10.88571429,2.99,3.46,5.39,20.47,49.84,4.333970466,0.824014563,27.66318115
110.9,sandy,5.42,3.16,1.55,0.27,17.1272,0.4185,1.715189873,5.740740741,3.496774194,11.7037037,3.87,2.89,5.35,21.05,48.93,4.138502144,0.64691576,40.92520908
260.5,sandy,4.82,2.15,1.36,0.29,10.363,0.3944,2.241860465,4.689655172,3.544117647,7.413793103,3.46,1.86,5.39,24.13,54.33,3.219161381,0.628012739,26.27535497
102.3,loamy,5.88,3.26,1.39,0.44,19.1688,0.6116,1.803680982,3.159090909,4.230215827,7.409090909,4.49,2.82,5.94,19.34,48.23,4.378218816,0.782048592,31.34205363
68.1,sandy,6.36,3.16,1.7,0.26,20.0976,0.442,2.012658228,6.538461538,3.741176471,12.15384615,4.66,2.9,5.01,18.78,50.43,4.483034686,0.664830806,45.46968326
225.8,loamy,4.39,3.53,1.48,0.28,15.4967,0.4144,1.243626062,5.285714286,2.966216216,12.60714286,2.91,3.25,5.21,21.6,57.05,3.936584814,0.643739078,37.39551158
150.6,clay,4.67,3.24,1.4,0.12,15.1308,0.168,1.441358025,11.66666667,3.335714286,27,3.27,3.12,4.51,14.67,50.1,3.889832901,0.409878031,90.06428571
280,loamy,4.84,4.07,1.9,0.4,19.6988,0.76,1.189189189,4.75,2.547368421,10.175,2.94,3.67,6.07,19.29,41.52,4.43833302,0.871779789,25.91947368
212.6,clay,5.46,3.91,1.49,0.25,21.3486,0.3725,1.396419437,5.96,3.66442953,15.64,3.97,3.66,4.83,19.6,51.84,4.620454523,0.610327781,57.31167785
72.6,sandy,4.88,2.49,1.4,0.2,12.1512,0.28,1.959839357,7,3.485714286,12.45,3.48,2.29,4.85,17.24,46.52,3.48585714,0.529150262,43.39714286
287,clay,4.45,4.1,1.57,0.55,18.245,0.8635,1.085365854,2.854545455,2.834394904,7.454545455,2.88,3.55,4.83,23.17,54.33,4.271416627,0.929247007,21.12912565
114.6,sandy,5.07,2.73,1.51,0.2,13.8411,0.302,1.857142857,7.55,3.357615894,13.65,3.56,2.53,4.68,16.81,53.48,3.720362886,0.549545267,45.83145695
134.3,clay,5.46,3.81,1.61,0.27,20.8026,0.4347,1.433070866,5.962962963,3.391304348,14.11111111,3.85,3.54,4.64,19.59,57.36,4.560986735,0.659317829,47.85507246
150.6,clay,4.73,4.04,1.41,0.26,19.1092,0.3666,1.170792079,5.423076923,3.354609929,15.53846154,3.32,3.78,4.74,20.88,54.54,4.371407096,0.60547502,52.12547736
62.8,clay,5.28,4.12,1.53,0.27,21.7536,0.4131,1.281553398,5.666666667,3.450980392,15.25925926,3.75,3.85,4.32,24.06,55.45,4.664075471,0.642728559,52.6594045
174.1,clay,4.65,3.95,1.13,0.34,18.3675,0.3842,1.17721519,3.323529412,4.115044248,11.61764706,3.52,3.61,4.61,19.97,46.65,4.285732143,0.619838689,47.8071317
80.8,loamy,4.7,3.54,1.55,0.25,16.638,0.3875,1.327683616,6.2,3.032258065,14.16,3.15,3.29,5.97,22.81,54.02,4.078970458,0.62249498,42.93677419
150.2,clay,5.18,3.11,1.56,0.33,16.1098,0.5148,1.665594855,4.727272727,3.320512821,9.424242424,3.62,2.78,5.37,22.1,59.84,4.013701533,0.717495645,31.29331779
137.7,loamy,4.97,3.33,1.54,0.21,16.5501,0.3234,1.492492492,7.333333333,3.227272727,15.85714286,3.43,3.12,5.46,20.37,46.56,4.068181412,0.568682688,51.17532468
243.2,sandy,5.29,2.68,1.49,0.26,14.1772,0.3874,1.973880597,5.730769231,3.55033557,10.30769231,3.8,2.42,5.59,16.73,59,3.765262275,0.622414653,36.59576665
250.8,sandy,5.06,3.26,1.77,0.17,16.4956,0.3009,1.552147239,10.41176471,2.858757062,19.17647059,3.29,3.09,5.92,15.7,47.25,4.061477564,0.548543526,54.82087072
88.4,loamy,5.41,3.3,1,0.18,17.853,0.18,1.639393939,5.555555556,5.41,18.33333333,4.41,3.12,4.11,20.32,45.74,4.225281056,0.424264069,99.18333333
141.6,sandy,5.3,2.98,1.62,0.18,15.794,0.2916,1.77852349,9,3.271604938,16.55555556,3.68,2.8,4.39,18.37,51.48,3.974166579,0.54,54.16323731
143.3,sandy,5.42,2.81,1.72,0.3,15.2302,0.516,1.928825623,5.733333333,3.151162791,9.366666667,3.7,2.51,4.6,22.76,53.58,3.902588884,0.7183314,29.51589147
87.9,clay,5.45,3.49,1.45,0.31,19.0205,0.4495,1.561604585,4.677419355,3.75862069,11.25806452,4,3.18,4.77,22.24,54.56,4.361249821,0.670447612,42.31479422
249.6,clay,5.17,3.61,1.49,0.48,18.6637,0.7152,1.432132964,3.104166667,3.469798658,7.520833333,3.68,3.13,4.85,19.45,45.19,4.32015046,0.84569498,26.0957774
226.8,clay,4.21,3.38,1.73,0.26,14.2298,0.4498,1.24556213,6.653846154,2.433526012,13,2.48,3.12,4.78,16.53,52.17,3.772240713,0.670671305,31.63583815
97.6,loamy,5.27,4.14,1.24,0.29,21.8178,0.3596,1.27294686,4.275862069,4.25,14.27586207,4.03,3.85,5.11,21.53,46.57,4.670952794,0.599666574,60.67241379
141.7,loamy,5.48,2.54,1.66,0.22,13.9192,0.3652,2.157480315,7.545454545,3.301204819,11.54545455,3.82,2.32,5.02,16.95,42.56,3.730844408,0.604317797,38.11391019
76.5,sandy,4.68,3.17,1.61,0.24,14.8356,0.3864,1.476340694,6.708333333,2.906832298,13.20833333,3.07,2.93,4.64,17.72,45.36,3.851700923,0.621610811,38.39440994
